,ffd correlation,d=1 correlation
RAY,0.8180040928864153,0.045947460723822525
VIX,0.9998646392174395,0.10162128352549564
QQQ,0.7619688005834508,0.06572056602615381
T10Y3M,0.9488354378626148,0.2552928378608162
CL1,0.9845891280329443,0.02520637231546893
HG1,0.9156524324037862,0.023258361238846257
GC1,0.8785676457375402,0.019872874495737637
XAG,0.949673594758887,0.019545612151168963
VNQ,0.8708975796030983,0.041324005202379915
EURtoUSD,0.9905636699104086,0.02560609168623489
VXUS,0.9420180940583613,0.05334608771533084
EEM,0.9989842686539495,0.024750187415498053
